ref_code,base_y,base_x,offsets
W0C/SL-013,13920,-27465,-2:-4 -2:-3 -1:-3 -1:-1 -1:4 0:-1 0:0 0:3 1:3 1:4 2:2 2:3 3:2 3:3
W0C/SL-014,13702,-27422,-2:1 -1:0 -1:1 0:0 0:1 1:0 1:1 2:0
W0C/SL-017,13829,-27388,-1:0 0:0 1:0 1:1
W0C/SM-001,14014,-28123,0:-4 0:-2 0:-1 0:0
W0C/SM-002,14022,-28122,0:0
W0C/SM-003,14016,-28121,-4:-2 -3:-2 -1:-2 0:0
W0C/SM-004,13983,-28090,0:0
W0C/SM-005,14021,-28126,-1:0 -1:1 0:0 0:4
W0C/SM-006,14019,-28154,-2:0 -2:1 -1:1 0:0 1:-1
W0C/SM-007,14014,-28151,0:0
W0C/SM-008,14013,-28113,0:0
W0C/SM-009,14021,-28108,0:0
W0C/SM-010,13957,-28122,-4:-2 0:0
W0C/SM-011,14017,-28158,-1:-1 -1:4 0:0 0:3 1:4 2:2 2:3 3:2
W0C/SM-012,14032,-28192,0:0
W0C/SM-013,13966,-28107,0:0
W0C/SP-001,14455,-27728,0:0 0:1
W0C/SP-002,14431,-27693,-1:-1 0:0 0:1
W0C/SP-003,14425,-27703,-3:-1 0:-1 0:0 0:1 1:-2
W0C/SP-004,14460,-27760,0:0
W0C/SP-005,14412,-27718,0:0
W0C/SP-006,14418,-27704,-1:0 0:0 3:0
W0C/SP-007,14316,-27678,0:-1 0:0
W0C/SP-008,14562,-27643,-4:2 -1:1 0:0 1:-1
W0C/SP-009,14458,-27719,-1:-1 0:-1 0:0 1:-1
W0C/SP-010,14410,-27700,-1:-2 -1:-1 -1:0 0:0
W0C/SP-011,14447,-27734,0:-2 0:-1 0:0
W0C/SP-012,14313,-27686,-1:0 -1:4 0:0 0:4 1:0
W0C/SP-013,14412,-27721,-1:3 0:0 0:2 1:2 2:3
W0C/SP-014,14239,-27667,0:-1 0:0 1:0
W0C/SP-015,14411,-27709,-2:0 0:0
W0C/SP-016,14293,-27698,0:0
W0C/SP-017,14587,-27609,-5:0 -4:0 -3:0 -2:-1 -2:0 -1:0 0:0 0:1 0:2 1:2 1:3 2:3
W0C/SP-018,14441,-27637,-2:3 -2:4 -1:4 0:0
W0C/SP-019,14443,-27749,0:0 1:0
W0C/SP-020,14347,-27684,-1:-3 -1:-2 0:0 1:0
W0C/SP-021,14649,-27559,-2:2 -1:1 -1:2 -1:3 0:0 0:2 0:3 3:-1 4:-1
