# lat,lon,effective_radius_m -- worldwide city anchors for
# score_points()'s in-city test (docs/features/places.md). US rows are
# the untouched original app/reference/places.csv (US Census 2024
# Gazetteer places, radius = sqrt(ALAND/pi)). Non-US rows are derived
# from GeoNames cities500 (download.geonames.org), radius estimated from
# population (GeoNames carries no land-area figure) at an assumed
# 1500 people/km^2, clamped to [300m, 25000m] -- see
# scripts/build_global_anchors.py for the derivation and the
# Boise/SLC/Denver sanity check against the real US Census circles.
29.6993,-98.1151,6093
29.7001,-96.7773,1381
29.7007,-98.4832,4099
29.7028,-96.5571,1574
29.7039,-98.6677,2550
29.704,-95.4609,1722
29.7087,-95.4355,453
29.7154,-95.4316,1285
29.7251,-99.0743,969
29.7254,-99.7631,682
29.7329,-100.0328,853
29.7352,-96.0769,1209
29.7389,-94.8465,1922
29.7399,-95.7607,1928
29.7452,-95.2346,1990
29.7461,-98.6381,3179
29.7531,-96.038,1269
29.7565,-95.5154,1323
29.7623,-97.8245,1111
29.7641,-96.1622,3109
29.7648,-95.5317,1090
29.7648,-94.9675,5778
29.7652,-94.6785,1308
29.7664,-95.2412,1236
29.7727,-95.4981,1270
29.7745,-98.435,3610
29.7799,-95.5192,887
29.78,-94.3686,2878
29.7824,-95.9514,1889
29.7849,-98.7279,3113
29.7857,-95.3888,22984
29.7891,-95.1763,1595
29.7898,-95.504,1001
29.7909,-95.8407,3551
29.7909,-95.4885,470
29.793,-95.1145,3447
29.7946,-96.1059,2625
29.7952,-93.2915,3069
29.8098,-97.9093,2304
29.8129,-95.0578,2006
29.8139,-94.8122,1002
29.8167,-94.3807,1806
29.8184,-95.9764,1706
29.8375,-96.705,612
29.845,-97.8383,1304
29.85,-94.8747,3830
29.8548,-94.3207,1566
29.8598,-95.1332,1431
29.8654,-95.0525,2295
29.8664,-94.1292,966
29.8736,-97.9367,5737
29.8744,-94.8267,1136
29.8758,-98.2612,10847
29.8763,-98.4085,1299
29.8778,-97.6826,3657
29.883,-96.496,2102
29.8929,-95.5772,1693
29.9,-93.8944,7892
29.9063,-96.6759,643
29.9126,-96.8763,1847
29.9134,-95.3774,2547
29.9152,-95.0577,1355
29.9263,-94.2433,2843
29.9323,-96.9812,1701
29.9346,-99.0478,2097
29.946,-93.9167,2073
29.9466,-96.2588,1498
29.9533,-97.3119,4102
29.9595,-94.0356,839
29.9599,-97.4428,1929
29.9608,-93.9618,2662
29.965,-93.4102,4811
29.9666,-97.7881,1774
29.9674,-96.4971,938
29.9693,-94.0017,2161
29.9723,-98.9047,1691
29.9779,-95.1946,4437
29.9848,-98.0906,2717
29.988,-94.0217,1442
29.9882,-95.2644,2859
29.9941,-97.8833,5177
29.9942,-97.7757,1739
30.0088,-97.1519,1847
30.0132,-94.936,5028
30.0171,-100.2133,1001
30.0266,-98.1115,946
30.0287,-94.586,1238
30.029,-92.507,866
30.0309,-93.8381,2304
30.0323,-94.4205,980
30.0383,-99.1311,4347
30.0388,-94.7888,6058
30.0392,-97.8915,658
30.0411,-94.3376,1058
30.0451,-94.7373,1650
30.0511,-97.7016,1753
30.0538,-96.0284,2776
30.0622,-95.384,4306
30.064,-96.6959,887
30.0724,-95.9316,2246
30.0738,-97.7373,2506
30.0771,-99.2375,1100
30.0791,-93.7598,1674
30.08,-92.6774,1236
30.0804,-97.8557,2815
30.0823,-97.5111,3852
30.0829,-95.9771,2471
30.0849,-94.1453,8229
30.0951,-95.6197,3280
30.0986,-98.4171,1696
30.1006,-96.0777,2326
30.1029,-94.8416,1130
30.1065,-94.0502,1118
30.1074,-93.7723,1187
30.1111,-97.3182,2758
30.1111,-92.9239,1514
30.1147,-94.6416,1105
30.1215,-97.8724,429
30.1235,-93.7545,4194
30.1281,-93.9917,3147
30.1287,-97.4774,3056
30.1331,-98.0373,1033
