ref_type,ref_code,name,lat,lon,points,source,area_m2,geom
summit,W5N/PW-001,Truchas Peak,35.962700,-105.645100,100,SOTA,,
summit,W5N/PW-002,North Truchas Peak,35.979100,-105.632400,100,SOTA,,
summit,W5N/PW-003,Chimayosos Peak,35.975400,-105.609900,100,SOTA,,
summit,W5N/PW-004,Jicarita Peak,36.055400,-105.562400,100,SOTA,,
summit,W5N/PW-005,Santa Barbara Peak,35.984200,-105.557500,100,SOTA,,
summit,W5N/PW-006,Santa Fe Baldy,35.832200,-105.758200,100,SOTA,,
summit,W5N/PW-007,East Pecos Baldy,35.913000,-105.654100,100,SOTA,,
summit,W5N/PW-008,Lake Peak,35.796200,-105.771400,100,SOTA,,
summit,W5N/PW-009,Redondo Peak,35.862100,-105.745300,100,SOTA,,
summit,W5N/PW-010,Trampas Peak,36.038900,-105.633100,100,SOTA,,
summit,W5N/PW-011,11821,35.916900,-105.744000,100,SOTA,,
summit,W5N/PW-012,Elk Mountain,35.767200,-105.553500,100,SOTA,,
summit,W5N/PW-013,Thompson Peak,35.672300,-105.806600,100,SOTA,,
summit,W5N/PW-014,Bear Benchmark,35.647300,-105.503700,100,SOTA,,
summit,W5N/PW-015,Hermit Peak,35.744600,-105.415500,100,SOTA,,
summit,W5N/SC-001,Sierra Blanca Peak,33.374500,-105.808900,100,SOTA,,
summit,W5N/SC-002,Palko Peak,33.601300,-105.343700,100,SOTA,,
summit,W5N/SC-003,Capitan Peak,33.590900,-105.265700,100,SOTA,,
summit,W5N/SE-001,Chicoma Mountain,36.007400,-106.384500,100,SOTA,,
summit,W5N/SE-002,Redondo Peak,35.872200,-106.560600,100,SOTA,,
summit,W5N/SE-003,Polvadera Peak,36.059800,-106.405300,100,SOTA,,
summit,W5N/SE-004,Cerro Toledo,35.994100,-106.437500,100,SOTA,,
summit,W5N/SE-005,Cerro de la Garita,35.998900,-106.530900,100,SOTA,,
summit,W5N/SE-006,San Pedro Peaks (HP),36.123000,-106.813900,100,SOTA,,
summit,W5N/SE-007,Shell Mountain,35.955000,-106.404500,100,SOTA,,
summit,W5N/SE-008,Caballo Mountain,35.953900,-106.365200,100,SOTA,,
summit,W5N/SE-009,Pajarito Mountain,35.888000,-106.401300,100,SOTA,,
summit,W5N/SE-010,Cerros del Abrigo,35.931600,-106.477400,100,SOTA,,
